t_out_sec,t_out_nanosec,t_imu_sec,t_imu_nanosec,t_cmd_sec,t_cmd_nanosec,imu_ax,imu_ay,imu_az,cmd_vx,cmd_vy,cmd_vz
1760539853,27014131,1760539853,12721565,1760539853,27014131,0.03821145849609377,-0.104099888232627,9.589064953125,0.0,0.0,0.02729759199974069
1760539853,90393630,1760539853,76109397,1760539853,90393630,0.057365071777343755,-0.08494627490234374,9.60821856640625,0.0,0.0,0.07758471299894154
1760539853,153396887,1760539853,139175673,1760539853,153396887,0.04299986181640626,-0.08973467822265625,9.598641759765625,0.0,0.0,0.1408097479998105
1760539853,217157997,1760539853,202228671,1760539853,217157997,0.08130708837890627,-0.07058106494140624,9.622583776857521,0.0,0.0,0.20383135699921695
1760539853,280360551,1760539853,265946985,1760539853,280360551,0.02384624853515626,-0.08973467822265625,9.598641759765625,0.0,0.0,0.267637263999859
1760539853,343852124,1760539853,329328854,1760539853,343852124,0.05257666845703126,-0.06579266162109375,9.622583776857521,0.0,0.0,0.330766021999807
1760539853,407239494,1760539853,392790390,1760539853,407239494,0.06694187841796877,-0.07536946826171874,9.64173739013877,0.0,0.0,0.3945631689985021
1760539853,470320344,1760539853,456014685,1760539853,470320344,0.07651868505859376,-0.08494627490234374,9.617795373046874,0.0,0.0,0.4576721859993995
1760539853,533783379,1760539853,519419628,1760539853,533783379,0.06215347509765626,-0.07058106494140624,9.574699743654396,0.0,0.0,0.5207665179987089
1760539853,597171341,1760539853,582791757,1760539853,597171341,0.05257666845703127,-0.09452308154296875,9.613006970216896,0.0,0.0,0.5841337389992987
1760539853,660902915,1760539853,646260070,1760539853,660902915,0.042999861816406255,-0.08015787158203125,9.593853356935645,0.0,0.0,0.647656774999632
1760539853,724973896,1760539853,710493756,1760539853,724973896,0.03821145849609377,-0.09931148491231451,9.60821856640625,0.0,0.0,0.7113565889994788
1760539853,786935318,1760539853,775174054,1760539853,786935318,0.05257666845703127,-0.104099888232627,9.593853356935645,0.0,0.0,0.7755053299988504
1760539853,850474299,1760539853,836050825,1760539853,850474299,0.06215347509765626,-0.08015787158203123,9.656102599609374,0.0,0.0,0.837383788999432
1760539853,912868221,1760539853,898618230,1760539853,912868221,0.057365071777343755,-0.08494627490234374,9.60343016357627,0.0,0.0,0.9009251579991542
1760539853,980174950,1760539853,963844936,1760539853,980174950,0.07173028173828126,-0.08973467822265624,9.622583776857521,0.0,0.0,0.9632251729999552
1760539854,55571048,1760539854,44210339,1760539854,55571048,0.062153475097656265,-0.10409988823262699,9.60343016357627,0.0,0.0,1.030741605998628
1760539854,118074785,1760539854,103806034,1760539854,118074785,0.07173028173828126,-0.07536946826171874,9.6273721796875,0.0,0.0,1.1059867219992157
1760539854,181215302,1760539854,169677556,1760539854,181215302,0.04299986181640626,-0.08973467822265625,9.622583776857521,0.0,0.0,1.1685204219993466
1760539854,244346393,1760539854,229690067,1760539854,244346393,0.08130708837890627,-0.08494627490234374,9.6273721796875,0.0,0.0,1.231594105998738
1760539854,308942987,1760539854,294532920,1760539854,308942987,0.05257666845703127,-0.09931148491231451,9.613006970216896,0.0,0.0,1.294788585999413
1760539854,372449523,1760539854,357871475,1760539854,372449523,0.06694187841796877,-0.08494627490234374,9.579488146484374,0.0,0.0,1.3593877719995362
1760539854,435927911,1760539854,421486955,1760539854,435927911,0.033423055175781265,-0.08973467822265625,9.622583776857521,0.0,0.0,1.4230265299993334
1760539854,498106166,1760539854,486304364,1760539854,498106166,0.03342305517578126,-0.07058106494140626,9.584276550295021,0.0,0.0,1.4863622509983543
1760539854,560042310,1760539854,549152714,1760539854,560042310,0.042999861816406255,-0.07058106494140626,9.598641759765625,0.0,0.0,1.5485175809990324
1760539854,623670846,1760539854,609178799,1760539854,623670846,0.04299986181640626,-0.08973467822265625,9.617795373046874,0.0,0.0,1.6104419289986254
1760539854,686602067,1760539854,672158982,1760539854,686602067,0.02384624853515626,-0.08973467822265625,9.613006970216896,0.0,0.0,1.674091334998593
1760539854,750456863,1760539854,736072926,1760539854,750456863,0.07173028173828126,-0.08973467822265624,9.64173739013877,0.0,0.0,1.737099573998421
1760539854,813911195,1760539854,799431406,1760539854,813911195,0.05257666845703126,-0.07058106494140626,9.60821856640625,0.0,0.0,1.8009740369998326
1760539854,877792787,1760539854,863408165,1760539854,877792787,0.00948103857421876,-0.08015787158203125,9.598641759765625,0.0,0.0,1.8643604059998324
1760539854,941438546,1760539854,926961924,1760539854,941438546,0.07173028173828126,-0.08015787158203123,9.651314196779396,0.0,0.0,1.928246831999786
1760539855,5020360,1760539854,990481089,1760539855,5020360,0.047788265136718765,-0.09931148491231451,9.60821856640625,0.0,0.0,1.991828941998392
1760539855,68221765,1760539855,53945718,1760539855,68221765,0.06215347509765626,-0.06579266162109373,9.6273721796875,0.0,0.0,2.0555805709991546
1760539855,132204728,1760539855,117798884,1760539855,132204728,0.047788265136718765,-0.104099888232627,9.632160583498145,0.0,0.0,2.11864229099956
1760539855,197154249,1760539855,181164328,1760539855,197154249,0.042999861816406255,-0.08015787158203125,9.598641759765625,0.0,0.0,2.1827323289999185
1760539855,262887438,1760539855,246612868,1760539855,262887438,0.057365071777343755,-0.06579266162109373,9.593853356935645,0.0,0.0,2.247635107998576
1760539855,321854020,1760539855,311294758,1760539855,321854020,0.06694187841796877,-0.07536946826171874,9.60343016357627,0.0,0.0,2.313330055998449
1760539855,385332408,1760539855,370844730,1760539855,385332408,0.05736507177734376,-0.09452308154296873,9.64652579296875,0.0,0.0,2.3723106759989605
1760539855,448393424,1760539855,437839144,1760539855,448393424,0.014269441894531259,-0.07058106494140626,9.60343016357627,0.0,0.0,2.4358025819983595
1760539855,512622036,1760539855,498211359,1760539855,512622036,0.03821145849609377,-0.09452308154296875,9.60343016357627,0.0,0.0,2.498820746999627
1760539855,574557291,1760539855,559277056,1760539855,574557291,0.023846248535156263,-0.104099888232627,9.613006970216896,0.0,0.0,2.563147635999485
1760539855,638853495,1760539855,624404318,1760539855,638853495,0.06694187841796877,-0.08973467822265624,9.593853356935645,0.0,0.0,2.6249097979998623
1760539855,702720032,1760539855,688147521,1760539855,702720032,0.04778826513671876,-0.08494627490234376,9.622583776857521,0.0,0.0,2.6892997439990722
1760539855,766212624,1760539855,751647298,1760539855,766212624,0.023846248535156263,-0.11367669487325201,9.632160583498145,0.0,0.0,2.753322335998746
1760539855,829555678,1760539855,815299260,1760539855,829555678,0.06694187841796877,-0.07536946826171874,9.613006970216896,0.0,0.0,2.816759056999217
1760539855,892516880,1760539855,881346987,1760539855,892516880,0.057365071777343755,-0.061004258300781246,9.64173739013877,0.0,0.0,2.87992777799991
1760539855,955957564,1760539855,941375645,1760539855,955957564,0.05257666845703126,-0.07536946826171875,9.60343016357627,0.0,0.0,2.942911219999587
1760539856,19580081,1760539856,5253719,1760539856,19580081,0.04299986181640626,-0.09931148491231451,9.60343016357627,0.0,0.0,3.0064900899997156
1760539856,83734730,1760539856,68869718,1760539856,83734730,0.05257666845703126,-0.08494627490234376,9.598641759765625,0.0,0.0,3.070087774000058
1760539856,148931269,1760539856,133580498,1760539856,148931269,0.05736507177734376,-0.10409988823262699,9.632160583498145,0.0,0.0,3.1341530889985734
1760539856,214350957,1760539856,197920591,1760539856,214350957,0.05257666845703126,-0.08015787158203125,9.60343016357627,0.0,0.0,3.1995699619983498
1760539856,275007265,1760539856,260596440,1760539856,275007265,0.03342305517578126,-0.08015787158203125,9.6273721796875,0.0,0.0,3.264783686998271
1760539856,338733783,1760539856,324297754,1760539856,338733783,0.04299986181640626,-0.09931148491231451,9.6273721796875,0.0,0.0,3.325434846999997
1760539856,400172241,1760539856,385840101,1760539856,400172241,0.047788265136718765,-0.09452308154296875,9.622583776857521,0.0,0.0,3.3891837719984323
1760539856,461902663,1760539856,449147692,1760539856,461902663,0.03342305517578126,-0.07058106494140626,9.589064953125,0.0,0.0,3.450587599998471
1760539856,525189828,1760539856,510908725,1760539856,525189828,0.04778826513671876,-0.06579266162109375,9.589064953125,0.0,0.0,3.512350262999462
1760539856,589756607,1760539856,579970328,1760539856,589756607,0.04299986181640626,-0.09931148491231451,9.60821856640625,0.0,0.0,3.5756061499996576
1760539856,654254256,1760539856,642564917,1760539856,654254256,0.047788265136718765,-0.104099888232627,9.6273721796875,0.0,0.0,3.640119687999686
1760539856,718256830,1760539856,703979023,1760539856,718256830,0.07651868505859376,-0.08494627490234374,9.617795373046874,0.0,0.0,3.7048389859992312
1760539856,780779531,1760539856,766368409,1760539856,780779531,0.04299986181640626,-0.11367669487325201,9.613006970216896,0.0,0.0,3.768694262998906
1760539856,846694683,1760539856,836384866,1760539856,846694683,0.062153475097656265,-0.113676694873252,9.589064953125,0.0,0.0,3.831292371998643
1760539856,906915620,1760539856,892788924,1760539856,906915620,0.06215347509765626,-0.07058106494140624,9.598641759765625,0.0,0.0,3.8970796529993095
1760539856,970835916,1760539856,956553776,1760539856,970835916,0.03821145849609376,-0.07536946826171875,9.617795373046874,0.0,0.0,3.9573461639993184
1760539857,36336456,1760539857,19963571,1760539857,36336456,0.06694187841796877,-0.08015787158203123,9.617795373046874,0.0,0.0,4.021219218999249
1760539857,99938640,1760539857,82433845,1760539857,99938640,0.03342305517578126,-0.08494627490234376,9.622583776857521,0.0,0.0,4.08685377799884
1760539857,159523742,1760539857,145399510,1760539857,159523742,0.06215347509765626,-0.07536946826171874,9.6273721796875,0.0,0.0,4.150354554998557
1760539857,222375166,1760539857,209986419,1760539857,222375166,0.04778826513671876,-0.07536946826171875,9.6273721796875,0.0,0.0,4.209970471998531
1760539857,286590500,1760539857,272085267,1760539857,286590500,0.03821145849609376,-0.07536946826171875,9.579488146484374,0.0,0.0,4.272780228999181
1760539857,349305442,1760539857,334969561,1760539857,349305442,0.047788265136718765,-0.09931148491231451,9.632160583498145,0.0,0.0,4.337092303998361
1760539857,411281123,1760539857,399876692,1760539857,411281123,0.047788265136718765,-0.104099888232627,9.598641759765625,0.0,0.0,4.399714115999814
1760539857,473076674,1760539857,461638873,1760539857,473076674,0.03821145849609376,-0.08015787158203125,9.622583776857521,0.0,0.0,4.46172016699893
1760539857,536687117,1760539857,522185921,1760539857,536687117,0.062153475097656265,-0.08973467822265624,9.584276550295021,0.0,0.0,4.523506606999945
1760539857,599254689,1760539857,584834363,1760539857,599254689,0.05257666845703127,-0.08973467822265625,9.632160583498145,0.0,0.0,4.587071198999183
1760539857,662514669,1760539857,648152991,1760539857,662514669,0.03821145849609377,-0.09931148491231451,9.613006970216896,0.0,0.0,4.649649214999954
1760539857,725886408,1760539857,711626805,1760539857,725886408,0.05257666845703126,-0.08494627490234376,9.613006970216896,0.0,0.0,4.712951120998696
1760539857,789299851,1760539857,775018748,1760539857,789299851,0.00469263525390626,-0.08494627490234376,9.60343016357627,0.0,0.0,4.776301156000045
1760539857,852634480,1760539857,839759676,1760539857,852634480,0.04778826513671876,-0.07536946826171875,9.656102599609374,0.0,0.0,4.839800339999783
1760539857,915967312,1760539857,901608931,1760539857,915967312,0.033423055175781265,-0.09931148491231451,9.613006970216896,0.0,0.0,4.902987171999484
1760539857,979519477,1760539857,965193171,1760539857,979519477,0.04778826513671876,-0.08494627490234376,9.598641759765625,0.0,0.0,4.966493504000027
1760539858,42801198,1760539858,29713375,1760539858,42801198,0.03821145849609376,-0.08494627490234376,9.617795373046874,0.0,0.0,5.0298901139995
1760539858,106205030,1760539858,91822057,1760539858,106205030,0.033423055175781265,-0.09931148491231451,9.60343016357627,0.0,0.0,5.0932939469985286
1760539858,169160806,1760539858,154663629,1760539858,169160806,0.04778826513671876,-0.07536946826171875,9.584276550295021,0.0,0.0,5.1566554450000694
1760539858,234326123,1760539858,218656869,1760539858,234326123,0.03821145849609377,-0.09452308154296875,9.622583776857521,0.0,0.0,5.219720702998529
1760539858,295737914,1760539858,281576108,1760539858,295737914,0.014269441894531259,-0.07536946826171875,9.60821856640625,0.0,0.0,5.284740370998406
1760539858,359922933,1760539858,349577134,1760539858,359922933,0.06215347509765626,-0.07058106494140624,9.613006970216896,0.0,0.0,5.3461441439994815
1760539858,423238654,1760539858,408835514,1760539858,423238654,0.05257666845703127,-0.104099888232627,9.56512293701377,0.0,0.0,5.410346032998859
1760539858,488153563,1760539858,473822497,1760539858,488153563,0.05257666845703126,-0.07058106494140626,9.617795373046874,0.0,0.0,5.4738066059999255
1760539858,553181491,1760539858,537880831,1760539858,553181491,0.033423055175781265,-0.11367669487325201,9.56512293701377,0.0,0.0,5.53861036699891
1760539858,615688970,1760539858,601329681,1760539858,615688970,0.05257666845703126,-0.08015787158203125,9.593853356935645,0.0,0.0,5.603606479999144
1760539858,678936357,1760539858,664598106,1760539858,678936357,0.05257666845703126,-0.08015787158203125,9.622583776857521,0.0,0.0,5.666086829000051
1760539858,742436152,1760539858,727890012,1760539858,742436152,0.04299986181640626,-0.08973467822265625,9.617795373046874,0.0,0.0,5.72933947599995
1760539858,804325389,1760539858,792864347,1760539858,804325389,0.07651868505859376,-0.1088882915529395,9.64652579296875,0.0,0.0,5.792857844999162
1760539858,868441834,1760539858,854063749,1760539858,868441834,0.05257666845703127,-0.1184650981935645,9.574699743654396,0.0,0.0,5.854789969998819
1760539858,930772682,1760539858,916426894,1760539858,930772682,0.00948103857421876,-0.08494627490234376,9.60343016357627,0.0,0.0,5.918876525998712
1760539858,997120613,1760539858,979808356,1760539858,997120613,0.05257666845703126,-0.05142745166015624,9.613006970216896,0.0,0.0,5.981231800999012
1760539859,57312087,1760539859,42922039,1760539859,57312087,0.028634651855468766,-0.09931148491231451,9.636948986328125,0.0,0.0,6.047541915999318
1760539859,120797641,1760539859,106379704,1760539859,120797641,0.05736507177734376,-0.11846509819356449,9.617795373046874,0.0,0.0,6.107904186999804
1760539859,184810252,1760539859,170153111,1760539859,184810252,0.033423055175781265,-0.104099888232627,9.60343016357627,0.0,0.0,6.171189851998861
1760539859,247795843,1760539859,233559444,1760539859,247795843,0.05736507177734376,-0.08973467822265624,9.613006970216896,0.0,0.0,6.2354809639982705
1760539859,311343675,1760539859,297000665,1760539859,311343675,0.033423055175781265,-0.08973467822265625,9.589064953125,0.0,0.0,6.298169738998695
1760539859,375098230,1760539859,361047869,1760539859,375098230,0.033423055175781265,-0.10888829155293951,9.598641759765625,0.0,0.0,6.361744627000007
1760539859,438721618,1760539859,424287182,1760539859,438721618,0.04299986181640626,-0.08973467822265625,9.636948986328125,0.0,0.0,6.425511996998466
1760539859,501678950,1760539859,487216106,1760539859,501678950,0.08130708837890627,-0.08494627490234374,9.589064953125,0.0,0.0,6.489314125999954
1760539859,565934524,1760539859,551139254,1760539859,565934524,0.009481038574218763,-0.1184650981935645,9.598641759765625,0.0,0.0,6.552090678998866
1760539859,628865226,1760539859,614534345,1760539859,628865226,0.09088389501953126,-0.08015787158203123,9.636948986328125,0.0,0.0,6.6163820319998194
1760539859,692341336,1760539859,677899936,1760539859,692341336,0.042999861816406255,-0.08015787158203125,9.632160583498145,0.0,0.0,6.679261325998596
1760539859,757086449,1760539859,743093142,1760539859,757086449,0.04299986181640626,-0.12325350151387701,9.584276550295021,0.0,0.0,6.742830157998469
1760539859,821124763,1760539859,806669864,1760539859,821124763,0.07173028173828126,-0.08494627490234374,9.598641759765625,0.0,0.0,6.807534103998478
1760539859,885193115,1760539859,875126095,1760539859,885193115,0.03821145849609376,-0.08015787158203125,9.617795373046874,0.0,0.0,6.871597863999341
1760539859,948652688,1760539859,934258641,1760539859,948652688,0.08130708837890627,-0.08973467822265624,9.64173739013877,0.0,0.0,6.93560651199914
1760539860,11776742,1760539859,997784936,1760539860,11776742,0.01905784521484376,-0.08973467822265625,9.598641759765625,0.0,0.0,6.999175084998569
1760539860,73826386,1760539860,59473431,1760539860,73826386,0.08609549169921876,-0.08494627490234374,9.613006970216896,0.0,0.0,7.062071193999145
1760539860,135699401,1760539860,124148136,1760539860,135699401,0.028634651855468766,-0.10888829155293951,9.60343016357627,0.0,0.0,7.124290746000042
1760539860,198852732,1760539860,184764463,1760539860,198852732,0.04299986181640626,-0.08973467822265625,9.64652579296875,0.0,0.0,7.186085129998901
1760539860,261599656,1760539860,247226904,1760539860,261599656,0.07173028173828126,-0.09452308154296873,9.593853356935645,0.0,0.0,7.249219887999061
1760539860,324944562,1760539860,310675292,1760539860,324944562,0.028634651855468762,-0.08973467822265625,9.60821856640625,0.0,0.0,7.311946440999236
1760539860,388417950,1760539860,374002883,1760539860,388417950,0.019057845214843765,-0.10888829155293951,9.622583776857521,0.0,0.0,7.375450902998637
1760539860,452525005,1760539860,437679531,1760539860,452525005,0.02384624853515626,-0.08973467822265625,9.617795373046874,0.0,0.0,7.438842715999272
1760539860,515325929,1760539860,504347758,1760539860,515325929,0.04778826513671876,-0.07058106494140626,9.6273721796875,0.0,0.0,7.503046716999961
1760539860,578442223,1760539860,564412047,1760539860,578442223,0.05257666845703127,-0.104099888232627,9.622583776857521,0.0,0.0,7.565726602999348
1760539860,641959463,1760539860,627592045,1760539860,641959463,0.05257666845703127,-0.09452308154296875,9.60343016357627,0.0,0.0,7.628880211999785
1760539860,705052498,1760539860,692096398,1760539860,705052498,0.042999861816406255,-0.08015787158203125,9.622583776857521,0.0,0.0,7.692403007999019
1760539860,766843827,1760539860,752473576,1760539860,766843827,0.04299986181640626,-0.09452308154296875,9.632160583498145,0.0,0.0,7.755494060998899
1760539860,829818214,1760539860,818767118,1760539860,829818214,0.01905784521484376,-0.09452308154296875,9.622583776857521,0.0,0.0,7.817258334998769
1760539860,893132509,1760539860,877217532,1760539860,893132509,0.06694187841796877,-0.10409988823262699,9.60343016357627,0.0,0.0,7.880244109999694
1760539860,953941188,1760539860,942801424,1760539860,953941188,0.05257666845703127,-0.1376187114748145,9.632160583498145,8.362549999999999,8.362549999999999,0.00460419499904674
1760539861,18058836,1760539861,3581436,1760539861,18058836,2.714928914305615,-0.6164590435060642,10.58026444288135,8.362549999999999,8.362549999999999,0.06479689099978714
1760539861,80602796,1760539861,66347230,1760539861,80602796,0.306362044482627,-0.09931148491231447,10.0104444453125,8.362549999999999,8.362549999999999,0.12889511299908918
1760539861,149774233,1760539861,129964952,1760539861,149774233,0.7277415366701271,-0.15198392143575193,9.900311166493651,8.362549999999999,8.362549999999999,0.19151405499906105
1760539861,214680864,1760539861,199909760,1760539861,214680864,0.5697242270998145,0.2693955708498146,10.201980578125,8.362549999999999,8.362549999999999,0.26058087999990676
1760539861,278636494,1760539861,263442759,1760539861,278636494,0.7947791831545021,-0.8415139995607519,9.9338299921875,8.362549999999999,8.362549999999999,0.3255008630003431
1760539861,342848587,1760539861,328002390,1760539861,342848587,0.7421067466310646,0.1018014546388771,9.72314024609375,8.362549999999999,8.362549999999999,0.38943502999973134
1760539861,406009622,1760539861,391685815,1760539861,406009622,-0.22993912749043946,-0.391404087451377,9.18205067138877,8.362549999999999,8.362549999999999,0.4543005319992517
1760539861,469242602,1760539861,455404685,1760539861,469242602,-0.5651273599123146,0.7673895161623144,9.172473864748145,8.362549999999999,8.362549999999999,0.5168776770005934
1760539861,532569026,1760539861,518301331,1760539861,532569026,0.6702806968263769,0.5854301899904396,9.07191739453125,8.362549999999999,8.362549999999999,0.580098137999812
1760539861,594032058,1760539861,579871937,1760539861,594032058,-5.085380093993115,-2.6754724709462403,10.97291351024365,8.362549999999999,8.362549999999999,0.6433352109997941
1760539861,659532580,1760539861,642976398,1760539861,659532580,-6.579361929930616,2.079412025633739,5.399212048341895,8.362549999999999,8.362549999999999,0.7049348540003848
1760539861,724125414,1760539861,707010787,1760539861,724125414,-5.090168497803759,1.0020212790537595,6.280278259279395,8.362549999999999,8.362549999999999,0.770430987000509
1760539861,787724154,1760539861,773155458,1760539861,787724154,-0.5316085366701269,-0.487172153857627,9.354433190920021,8.362549999999999,8.362549999999999,0.8349950439987879
1760539861,851002449,1760539861,836319808,1760539861,851002449,0.03821145849609388,-1.0378385353993649,7.989738244140625,8.362549999999999,8.362549999999999,0.8986382469993259
1760539861,913445353,1760539861,898710527,1760539861,913445353,-2.08305121264751,-0.37703887749043974,9.469354870607521,8.362549999999999,8.362549999999999,0.9619247449991235
1760539861,977198316,1760539861,962676416,1760539861,977198316,-2.418239445069385,1.1169429587412598,6.625043298341896,0.0,0.0,1.0243440569993254
1760539862,40396111,1760539862,26054859,1760539862,40396111,-1.3839443278818848,-1.3778151716318852,7.19486329296875,0.0,0.0,1.0881052410004486
1760539862,103755887,1760539862,89459710,1760539862,103755887,-0.8620083657716896,-0.3674620708498146,8.545193029296875,0.0,0.0,1.1513058689997706
1760539862,166955386,1760539862,152640949,1760539862,166955386,-2.01122516235249,-0.04185064501953149,8.88038126171875,0.0,0.0,1.214723535000303
1760539862,233536687,1760539862,216051392,1760539862,233536687,-2.001648355711865,0.20714632768575175,9.656102599609374,0.0,0.0,1.2778630519987928
1760539862,294898237,1760539862,280350949,1760539862,294898237,-2.001648355711865,-0.15677232475606476,9.8476387373252,0.0,0.0,1.344474667999748
1760539862,357477975,1760539862,343078427,1760539862,357477975,-1.16367777514751,-0.6260358501466896,9.407105626953125,0.0,0.0,1.4058143109996308
1760539862,420997085,1760539862,406635871,1760539862,420997085,-1.518019620850635,-0.07058106494140644,8.33929168701377,0.0,0.0,1.4684125860003405
1760539862,485716309,1760539862,471041650,1760539862,485716309,-0.8237011392091895,0.1832043110841894,9.435836046875,0.0,0.0,1.5319258809995517
1760539862,549214919,1760539862,535323835,1760539862,549214919,-1.5659036540537599,-0.35309686088887715,9.158108654296875,0.0,0.0,1.5968455500005803
1760539862,612828863,1760539862,598305944,1760539862,612828863,-0.22036232084981444,-0.5589982036623145,9.8189083125,0.0,0.0,1.6600921219996962
1760539862,676196028,1760539862,661758536,1760539862,676196028,0.17707515483418954,-0.24775198784200197,9.732717052734374,0.0,0.0,1.7238999740002328
1760539862,740633492,1760539862,725728388,1760539862,740633492,0.9767385093263772,-1.0474153420399896,10.015232846181151,0.0,0.0,1.787078934999954
1760539862,803638157,1760539862,789248665,1760539862,803638157,1.0581413654774903,-1.0617805524912598,11.24106409618115,0.0,0.0,1.8516665839997586
1760539862,868181991,1760539862,851771551,1760539862,868181991,0.9336428794435646,-0.7457459331545019,10.3839399092002,0.0,0.0,1.9145189150003716
